"","x"
"544","St. Ambrose"
"545","St. Andrews"
"546","St. Catharine"
"547","St. Edward's"
"548","St. Josephs (IND)"
"549","St. Martin's"
"550","St. Mary's (MN)"
"551","St. Thomas (TX)"
"552","Stanford"
"553","Staten Island"
"554","Stephen F. Austin"
"555","Stetson"
"556","Stony Brook"
"557","Sul Ross"
"558","Summit"
"559","Syracuse"
"560","Tabor College"
"561","Tampa"
"562","TCU"
"563","Temple"
"564","TENN Wesleyan"
"565","Tennessee"
"566","Tennessee-Martin"
"567","Tennessee State"
"568","Tennessee Tech"
"569","Texas"
"570","Texas-Tyler"
"571","Texas A&M"
"572","Texas A&M-CC"
"573","Texas A&M-K'ville"
"574","Texas College"
"575","Texas Lutheran"
"576","Texas Permian Basin"
"577","Texas Southern"
"578","Texas State"
"579","Texas Tech"
"580","Texas Wesleyan"
"581","The Citadel"
"582","Thiel College"
"583","Thomas (GA)"
"584","Thomas More"
"585","Tiffin"
"586","Toccoa Falls"
"587","Toledo"
"588","Towson"
"589","Trevecca Nazarene"
"590","Trinity (FL)"
"591","Trinity (IL)"
"592","Trinity Baptist"
"593","Trinity Intl"
"594","Troy"
"595","Truett-McConnell"
"596","Tulane"
"597","Tulsa"
"598","Tusculum"
"599","UAB"
"600","UC Davis"
"601","UC Irvine"
"602","UC Riverside"
"603","UC San Diego"
"604","UC Santa Barbara"
"605","UCF"
"606","UCLA"
"607","UIC"
"608","UMass Lowell"
"609","UMBC"
"610","UMKC"
"611","UNC Asheville"
"612","UNC Greensboro"
"613","UNC Wilmington"
"614","Union (TN)"
"615","University of Great Falls"
"616","UNLV"
"617","Urbana"
"618","Ursinus"
"619","US Merchant Marine Academy"
"620","USC"
"621","UT-Arlington"
"622","UT Rio Grande Valley"
"623","UT San Antonio"
"624","Utah"
"625","Utah State"
"626","Utah Valley"
"627","UTEP"
"628","Utica College"
"629","Valley City State"
"630","Valparaiso"
"631","Vanderbilt"
"632","Vanguard"
"633","VCU"
"634","Vermont"
"635","Villanova"
"636","Virginia"
"637","Virginia-Wise"
"638","Virginia Tech"
"639","VMI"
"640","Voorhees"
"641","W. Virginia Tech"
"642","Wagner"
"643","Wake Forest"
"644","Waldorf College"
"645","Warner Southern"
"646","Warren Wilson"
"647","Washington"
"648","Washington Adventist"
"649","Washington State"
"650","Wayne State (NE)"
"651","Webber Int."
"652","Weber State"
"653","Wentworth"
"654","Wesley"
"655","West Virginia"
